system:index,Lat,Lon,one_change,.geo
4,-2.325597658246924,-46.213652425101,1,"{""type"":""Point"",""coordinates"":[-46.213652425101,-2.325597658246924]}"
9,-3.260144671930203,-60.52477601783596,1,"{""type"":""Point"",""coordinates"":[-60.52477601783596,-3.260144671930203]}"
20,-3.442630125184732,-58.02700358086012,1,"{""type"":""Point"",""coordinates"":[-58.02700358086012,-3.442630125184732]}"
26,1.7942328060815338,-60.520888740138474,1,"{""type"":""Point"",""coordinates"":[-60.520888740138474,1.7942328060815338]}"
34,-1.9770990874632781,-46.57038030292243,1,"{""type"":""Point"",""coordinates"":[-46.57038030292243,-1.9770990874632781]}"
38,-26.531242120568933,-48.682401365070554,1,"{""type"":""Point"",""coordinates"":[-48.682401365070554,-26.531242120568933]}"
50,-12.791494695556802,-56.66306298119959,1,"{""type"":""Point"",""coordinates"":[-56.66306298119959,-12.791494695556802]}"
53,-13.120226213707253,-39.03368229059099,1,"{""type"":""Point"",""coordinates"":[-39.03368229059099,-13.120226213707253]}"
57,-15.25505315192022,-53.694329611015924,1,"{""type"":""Point"",""coordinates"":[-53.694329611015924,-15.25505315192022]}"
73,-2.806959518968759,-57.040321782888356,1,"{""type"":""Point"",""coordinates"":[-57.040321782888356,-2.806959518968759]}"
74,-14.082547039750686,-56.56464901529643,1,"{""type"":""Point"",""coordinates"":[-56.56464901529643,-14.082547039750686]}"
86,-8.022056754967107,-50.438636029964336,1,"{""type"":""Point"",""coordinates"":[-50.438636029964336,-8.022056754967107]}"
89,-14.530592850855092,-52.96399736394839,1,"{""type"":""Point"",""coordinates"":[-52.96399736394839,-14.530592850855092]}"
94,-8.169080315839015,-72.89393066885482,1,"{""type"":""Point"",""coordinates"":[-72.89393066885482,-8.169080315839015]}"
95,-12.2312305111493,-64.08829917283279,1,"{""type"":""Point"",""coordinates"":[-64.08829917283279,-12.2312305111493]}"
100,-23.116617889928207,-53.714566607774124,1,"{""type"":""Point"",""coordinates"":[-53.714566607774124,-23.116617889928207]}"
