system:index,consistent_change,latitude,longitude,.geo
0,1,2.1927426927715477,-61.458913899500175,
1,1,-14.909922675466373,-49.96038843124188,
2,1,-8.754935843264647,-47.672648897174696,
3,1,-2.9373562317782147,-49.11498391735701,
4,1,-12.243004259972338,-64.46081408444238,
5,1,-11.601068157940528,-57.06992508434901,
6,1,-11.313786930079104,-51.952222910720096,
7,1,-6.757441977496479,-70.2813581363664,
8,1,-6.681444504459969,-57.00201244886958,
9,1,-12.907308412578722,-54.11734240850497,
10,1,-3.8547157999210713,-47.947533374115274,
11,1,-15.770688380709696,-53.36706948320835,
12,1,-1.646207673913227,-51.908834282497125,
13,1,-9.932896675330575,-50.88933626654988,
14,1,-13.26977862972095,-56.905802881940375,
15,1,-10.42095136919271,-57.30654133018609,
16,1,-12.485818881269843,-47.478612795804885,
17,1,2.9589157985970873,-62.41238574206463,
18,1,-12.24542971123946,-57.31327869481699,
19,1,-8.944390536685454,-57.89296154765932,
20,1,-13.121017618670756,-60.27098176778051,
21,1,-8.260143784771614,-46.30334690959131,
22,1,-2.554943415328535,-44.96180286428722,
23,1,-6.402248114155621,-54.85656605580692,
24,1,-15.44406094340384,-58.49150902146816,
25,1,-14.120034046140077,-47.488853590043846,
26,1,-7.110210389570216,-59.83440053969843,
27,1,-1.3667417890236448,-61.8251570408357,
28,1,-4.8618170649474655,-49.791954315469475,
29,1,-21.438429002804995,-50.99902056274088,
30,1,-28.70454200993415,-51.64311262145458,
31,1,-6.692224287869403,-47.012656657932084,
32,1,-7.778017971784668,-42.21322758946672,
33,1,-8.922830969866585,-50.51042687970827,
34,1,-10.038808047328267,-64.30693267627271,
35,1,-10.103756242370107,-54.129739159425824,
36,1,-6.804603529912755,-44.92164817108708,
37,1,-4.710900097215386,-43.376635713929915,
38,1,-11.340466894017453,-47.93998752572867,
39,1,-9.0740174321839,-65.91446787720459,
40,1,-11.332382056460379,-48.4520272376768,
41,1,-18.640536218886332,-41.5058043032226,
42,1,-1.9954726563788965,-54.50945703002314,
43,1,-12.5771775456648,-41.06221621592438,
44,1,-2.0897957612114473,-48.00304925867386,
45,1,-9.942059491228594,-54.24023193937252,
46,1,-19.189227194426536,-49.289616408589836,
47,1,-2.6966975671625955,-45.359846366680586,
48,1,-20.41488856807921,-56.36250179810489,
49,1,-7.638958765802966,-73.08491030657501,
50,1,-9.084797215593337,-59.03858302949695,
51,1,-1.9561264469344612,-49.47448969406163,
52,1,-27.06520644794444,-51.232941862725596,
