system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
0_1003,1,3,3.0,-1.8453641724025247,0.0,3.0,3.0,0.0,-55.52464313260661,5.0,3.0,1985,1,"{""type"":""Point"",""coordinates"":[-55.52464313260661,-1.8453641724025247]}"
0_1006,1,3,2.0,-13.316670687551987,0.0,2.0,2.0,1.0,-57.195509561068924,5.0,3.0,1985,1,"{""type"":""Point"",""coordinates"":[-57.195509561068924,-13.316670687551987]}"
0_1011,1,2,3.0,-19.377334414921158,4.0,3.0,3.0,0.0,-45.33208842440129,1.0,7.0,1985,3,"{""type"":""Point"",""coordinates"":[-45.33208842440129,-19.377334414921158]}"
0_1032,1,3,4.0,-19.448750480008663,0.0,4.0,4.0,0.0,-54.98942688632821,4.0,4.0,1985,4,"{""type"":""Point"",""coordinates"":[-54.98942688632821,-19.448750480008663]}"
0_1054,1,4,8.0,-21.886329003466987,0.0,8.0,8.0,0.0,-55.44675919747346,0.0,8.0,1985,3,"{""type"":""Point"",""coordinates"":[-55.44675919747346,-21.886329003466987]}"
0_1056,1,1,7.0,-10.212901549390633,0.0,7.0,7.0,0.0,-59.515049456193935,1.0,7.0,1985,3,"{""type"":""Point"",""coordinates"":[-59.515049456193935,-10.212901549390633]}"
0_1244,1,2,6.0,-11.306510576277736,0.0,6.0,6.0,0.0,-41.10290989829499,2.0,6.0,1985,1,"{""type"":""Point"",""coordinates"":[-41.10290989829499,-11.306510576277736]}"
0_1256,1,2,1.0,-22.03778496036954,0.0,1.0,1.0,0.0,-55.29961515393467,7.0,1.0,1985,3,"{""type"":""Point"",""coordinates"":[-55.29961515393467,-22.03778496036954]}"
0_1264,1,1,7.0,-21.96960283030486,1.0,7.0,7.0,0.0,-48.70669962072468,0.0,8.0,1985,3,"{""type"":""Point"",""coordinates"":[-48.70669962072468,-21.96960283030486]}"
0_1265,1,1,8.0,-21.17890571722286,0.0,8.0,8.0,0.0,-56.01970468568489,0.0,8.0,1985,3,"{""type"":""Point"",""coordinates"":[-56.01970468568489,-21.17890571722286]}"
0_1316,1,1,8.0,-11.7120999270577,0.0,8.0,8.0,0.0,-57.95790974270116,0.0,8.0,1985,3,"{""type"":""Point"",""coordinates"":[-57.95790974270116,-11.7120999270577]}"
0_1414,1,1,4.0,-18.843735136154173,0.0,4.0,4.0,0.0,-53.89689583778204,4.0,4.0,1985,3,"{""type"":""Point"",""coordinates"":[-53.89689583778204,-18.843735136154173]}"
0_1434,1,2,0.0,-11.643378807822554,0.0,0.0,0.0,0.0,-52.675815872078374,8.0,0.0,1985,5,"{""type"":""Point"",""coordinates"":[-52.675815872078374,-11.643378807822554]}"
0_1460,1,2,5.0,-12.290974296144324,0.0,5.0,5.0,0.0,-53.049065872630045,3.0,5.0,1985,1,"{""type"":""Point"",""coordinates"":[-53.049065872630045,-12.290974296144324]}"
0_1467,1,4,8.0,-8.973765446476165,0.0,8.0,8.0,0.0,-49.01958283418351,0.0,8.0,1985,2,"{""type"":""Point"",""coordinates"":[-49.01958283418351,-8.973765446476165]}"
