consistent_change,latitude,longitude,year
1.0,-9.651005339,-48.64660233,1998
1.0,-9.651005339,-48.64660233,2014
1.0,-6.90512501,-38.59741874,2009
1.0,-6.90512501,-38.59741874,2011
1.0,-6.90512501,-38.59741874,2013
0.0,-6.90512501,-38.59741874,2015
1.0,-16.82090878,-47.33470269,1993
1.0,-8.711008226,-35.40148245,2006
1.0,-8.711008226,-35.40148245,2011
0.0,-8.711008226,-35.40148245,2005
1.0,-5.729859124,-48.8074906,1996
1.0,-29.96712414,-52.78442219,1990
1.0,-29.96712414,-52.78442219,2005
1.0,-20.88003622,-53.61204006,1990
1.0,-12.75773892,-47.08622868,2013
1.0,-18.06381781,-46.771728499999995,2013
1.0,-18.06381781,-46.771728499999995,2015
1.0,-7.560266347000001,-42.10219582,2012
1.0,-8.985353714,-36.52770032,1985
1.0,-8.985353714,-36.52770032,1987
1.0,-8.985353714,-36.52770032,1990
1.0,-8.985353714,-36.52770032,1993
1.0,-8.985353714,-36.52770032,2003
1.0,-8.985353714,-36.52770032,2008
1.0,-3.277188904,-51.00144601,2003
1.0,-3.277188904,-51.00144601,2008
1.0,-3.277188904,-51.00144601,2010
1.0,-20.468248499999998,-42.32857127,1993
0.0,-20.468248499999998,-42.32857127,1991
0.0,-20.468248499999998,-42.32857127,1992
1.0,-16.31668441,-56.23691732,1996
1.0,-11.63179054,-51.09334367,1990
1.0,-4.701198292,-48.23292814,1990
1.0,-4.701198292,-48.23292814,1998
1.0,-4.701198292,-48.23292814,2000
1.0,-4.701198292,-48.23292814,2002
1.0,-2.541468686,-45.94896153,2002
1.0,-3.0074248239999997,-52.07376497,1999
1.0,-3.0074248239999997,-52.07376497,2001
1.0,-3.0074248239999997,-52.07376497,2012
1.0,-26.41356854,-48.59782381,1986
1.0,-29.76284725,-50.912782299999996,1992
1.0,-29.76284725,-50.912782299999996,2006
1.0,-15.97712123,-58.65051083,1993
1.0,2.512632765,-61.5335639,2001
1.0,2.512632765,-61.5335639,2004
1.0,2.512632765,-61.5335639,2009
1.0,2.512632765,-61.5335639,2012
1.0,-12.06810227,-58.31094765,1985
1.0,-12.06810227,-58.31094765,2001
1.0,-12.06810227,-58.31094765,2014
1.0,-2.381658397,-45.40889438,2004
1.0,-2.381658397,-45.40889438,2007
1.0,-2.381658397,-45.40889438,2011
1.0,-9.330306783,-56.18032346,2009
