system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
0_4,0,3,0.0,-11.860591443522651,5.0,0.0,0.0,0.0,-42.18681712011361,3.0,5.0,1985,2,"{""type"":""Point"",""coordinates"":[-42.18681712011361,-11.860591443522651]}"
0_6,1,3,4.0,-14.444775021349285,0.0,4.0,4.0,0.0,-54.360157029802465,4.0,4.0,1985,1,"{""type"":""Point"",""coordinates"":[-54.360157029802465,-14.444775021349285]}"
0_17,1,3,1.0,-3.50814576330776,0.0,5.0,1.0,0.0,-53.30373825567792,3.0,5.0,1985,1,"{""type"":""Point"",""coordinates"":[-53.30373825567792,-3.50814576330776]}"
0_58,1,2,0.0,-19.136675750305546,0.0,0.0,0.0,1.0,-51.59999348781683,7.0,1.0,1985,1,"{""type"":""Point"",""coordinates"":[-51.59999348781683,-19.136675750305546]}"
0_70,1,2,6.0,-5.005188184292941,0.0,6.0,6.0,0.0,-40.122758091792186,2.0,6.0,1985,3,"{""type"":""Point"",""coordinates"":[-40.122758091792186,-5.005188184292941]}"
0_92,0,1,0.0,-22.27332322786568,0.0,0.0,0.0,5.0,-49.00341315906936,3.0,5.0,1985,4,"{""type"":""Point"",""coordinates"":[-49.00341315906936,-22.27332322786568]}"
0_193,1,3,1.0,-9.370191981358108,0.0,1.0,1.0,0.0,-69.43325867662917,7.0,1.0,1985,1,"{""type"":""Point"",""coordinates"":[-69.43325867662917,-9.370191981358108]}"
0_194,1,1,8.0,-18.65562791565954,0.0,8.0,8.0,0.0,-43.55692759145271,0.0,8.0,1985,2,"{""type"":""Point"",""coordinates"":[-43.55692759145271,-18.65562791565954]}"
0_207,1,3,4.0,-1.3969251825700608,0.0,4.0,4.0,0.0,-48.25637416879557,4.0,4.0,1985,1,"{""type"":""Point"",""coordinates"":[-48.25637416879557,-1.3969251825700608]}"
0_252,0,2,0.0,-16.502635674210282,6.0,0.0,0.0,0.0,-48.87728969317898,2.0,6.0,1985,4,"{""type"":""Point"",""coordinates"":[-48.87728969317898,-16.502635674210282]}"
0_257,1,3,8.0,-13.157668882262833,0.0,8.0,8.0,0.0,-46.1618622523425,0.0,8.0,1985,2,"{""type"":""Point"",""coordinates"":[-46.1618622523425,-13.157668882262833]}"
0_317,1,3,1.0,-3.4310703119303048,0.0,3.0,1.0,0.0,-45.431801420938555,5.0,3.0,1985,1,"{""type"":""Point"",""coordinates"":[-45.431801420938555,-3.4310703119303048]}"
0_331,0,3,3.0,-30.356004828259483,0.0,3.0,3.0,1.0,-50.99363067103616,4.0,4.0,1985,2,"{""type"":""Point"",""coordinates"":[-50.99363067103616,-30.356004828259483]}"
0_372,1,1,5.0,-6.409793962542225,0.0,5.0,5.0,0.0,-49.024972725888226,3.0,5.0,1985,3,"{""type"":""Point"",""coordinates"":[-49.024972725888226,-6.409793962542225]}"
0_379,1,3,2.0,-9.224125916160274,0.0,2.0,2.0,0.0,-69.59980633030492,6.0,2.0,1985,1,"{""type"":""Point"",""coordinates"":[-69.59980633030492,-9.224125916160274]}"
0_392,1,3,0.0,-28.321051215143534,0.0,0.0,0.0,0.0,-52.628654319662104,8.0,0.0,1985,1,"{""type"":""Point"",""coordinates"":[-52.628654319662104,-28.321051215143534]}"
